temp,hum,windspeed,casual
0.344167,0.805833,0.160446,331
0.363478,0.696087,0.248539,131
0.196364,0.437273,0.248309,120
0.2,0.590435,0.160296,108
0.226957,0.436957,0.1869,82
0.204348,0.518261,0.0895652,88
0.196522,0.498696,0.168726,148
0.165,0.535833,0.266804,68
0.138333,0.434167,0.36195,54
0.150833,0.482917,0.223267,41
0.169091,0.686364,0.122132,43
0.172727,0.599545,0.304627,25
0.165,0.470417,0.301,38
0.16087,0.537826,0.126548,54
0.233333,0.49875,0.157963,222
0.231667,0.48375,0.188433,251
0.175833,0.5375,0.194017,117
0.216667,0.861667,0.146775,9
0.292174,0.741739,0.208317,78
0.261667,0.538333,0.195904,83
0.1775,0.457083,0.353242,75
0.0591304,0.4,0.17197,93
0.0965217,0.436522,0.2466,150
0.0973913,0.491739,0.15833,86
0.223478,0.616957,0.129796,186
0.2175,0.8625,0.29385,34
0.195,0.6875,0.113837,15
0.203478,0.793043,0.1233,38
0.196522,0.651739,0.145365,123
0.216522,0.722174,0.0739826,140
0.180833,0.60375,0.187192,42
0.192174,0.829565,0.053213,47
0.26,0.775417,0.264308,72
0.186957,0.437826,0.277752,61
0.211304,0.585217,0.127839,88
0.233333,0.929167,0.161079,100
0.285833,0.568333,0.1418,354
0.271667,0.738333,0.0454083,120
0.220833,0.537917,0.36195,64
0.134783,0.494783,0.188839,53
0.144348,0.437391,0.221935,47
0.189091,0.506364,0.10855,149
0.2225,0.544167,0.203367,288
0.316522,0.457391,0.260883,397
0.415,0.375833,0.417908,208
0.266087,0.314348,0.291374,140
0.318261,0.423478,0.251791,218
0.435833,0.505,0.230104,259
0.521667,0.516667,0.264925,579
0.399167,0.187917,0.507463,532
0.285217,0.407826,0.223235,639
0.303333,0.605,0.307846,195
0.182222,0.577778,0.195683,74
0.221739,0.423043,0.094113,139
0.295652,0.697391,0.250496,100
0.364348,0.712174,0.346539,120
0.2825,0.537917,0.186571,424
0.343478,0.68,0.125248,694
0.407273,0.876364,0.289686,81
0.266667,0.535,0.216425,137
0.335,0.449583,0.307833,231
0.198333,0.318333,0.225754,123
0.261667,0.610417,0.203346,214
0.384167,0.789167,0.251871,640
0.376522,0.948261,0.343287,114
0.261739,0.551304,0.341352,244
0.2925,0.420833,0.12065,316
0.295833,0.775417,0.22015,191
0.389091,0,0.261877,46
0.316522,0.649565,0.23297,247
0.329167,0.594583,0.220775,724
0.384348,0.527391,0.270604,982
0.325217,0.496957,0.136926,359
0.317391,0.655652,0.184309,289
0.365217,0.776522,0.203117,321
0.415,0.602917,0.209579,424
0.54,0.525217,0.231017,884
0.4725,0.379167,0.368167,1424
0.3325,0.47375,0.207721,1047
0.430435,0.737391,0.288783,401
0.441667,0.624583,0.22575,460
0.346957,0.839565,0.234261,203
0.285,0.805833,0.243787,166
0.264167,0.495,0.230725,300
0.265833,0.394167,0.209571,981
0.253043,0.493913,0.1843,472
0.264348,0.302174,0.212204,222
0.3025,0.314167,0.226996,317
0.3,0.646667,0.172888,168
0.268333,0.918333,0.217646,179
0.3,0.68625,0.258708,307
0.315,0.65375,0.197146,898
0.378333,0.48,0.182213,1651
0.573333,0.42625,0.385571,734
0.414167,0.642083,0.388067,167
0.390833,0.470833,0.263063,413
0.4375,0.602917,0.162312,571
0.335833,0.83625,0.226992,172
0.3425,0.8775,0.133083,879
0.426667,0.8575,0.146767,1188
0.595652,0.716956,0.324474,855
0.5025,0.739167,0.274879,257
0.4125,0.819167,0.250617,209
0.4675,0.540417,0.1107,529
0.446667,0.67125,0.226375,642
0.430833,0.888333,0.340808,121
0.456667,0.479583,0.303496,1558
0.5125,0.5425,0.163567,669
0.505833,0.665833,0.157971,409
0.595,0.614167,0.241925,613
0.459167,0.407083,0.325258,745
0.336667,0.729583,0.219521,177
0.46,0.887917,0.230725,1462
0.581667,0.810833,0.192175,1710
0.606667,0.776667,0.185333,773
0.631667,0.729167,0.3265,678
0.62,0.835417,0.3122,547
0.6175,0.700833,0.320908,569
0.51,0.457083,0.240063,878
0.4725,0.503333,0.235075,1965
0.451667,0.762083,0.106354,1138
0.549167,0.73,0.183454,847
0.616667,0.697083,0.342667,603
0.414167,0.737083,0.328996,255
0.459167,0.444167,0.295392,614
0.479167,0.59,0.228246,894
0.52,0.54125,0.16045,1612
0.528333,0.631667,0.0746375,1401
0.5325,0.58875,0.176,664
0.5325,0.489167,0.115671,694
0.5425,0.632917,0.120642,550
0.535,0.7475,0.189667,695
0.5125,0.863333,0.179725,692
0.520833,0.9225,0.13495,902
0.5625,0.867083,0.152979,1582
0.5775,0.787917,0.126871,773
0.561667,0.837917,0.277354,678
0.55,0.87,0.201492,536
0.530833,0.829583,0.108213,735
0.536667,0.719583,0.125013,909
0.6025,0.626667,0.12065,2258
0.604167,0.749583,0.148008,1576
0.631667,0.81,0.233842,836
0.66,0.740833,0.207092,659
0.660833,0.69625,0.154233,740
0.708333,0.6775,0.199642,758
0.681667,0.65375,0.240679,871
0.655833,0.729583,0.230092,2001
0.6675,0.81875,0.213938,2355
0.733333,0.685,0.131225,1549
0.775,0.636667,0.111329,673
0.764167,0.677083,0.207092,513
0.715,0.305,0.292287,736
0.62,0.354167,0.253121,898
0.635,0.45625,0.123142,1869
0.648333,0.6525,0.138692,1685
0.678333,0.6,0.121896,673
0.7075,0.597917,0.187808,763
0.775833,0.622083,0.136817,676
0.808333,0.568333,0.149883,563
0.755,0.605,0.140554,815
0.725,0.654583,0.15485,1729
0.6925,0.747917,0.163567,1467
0.635,0.494583,0.30535,863
0.604167,0.507083,0.269283,727
0.626667,0.471667,0.167912,769
0.628333,0.688333,0.206471,545
0.649167,0.735833,0.143029,863
0.696667,0.670417,0.119408,1807
0.699167,0.666667,0.102,1639
0.635,0.74625,0.155475,699
0.680833,0.770417,0.171025,774
0.733333,0.7075,0.172262,661
0.728333,0.703333,0.238804,746
0.724167,0.573333,0.222025,969
0.695,0.483333,0.209571,1782
0.68,0.513333,0.0945333,1920
0.6825,0.658333,0.107588,854
